id,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts39604,SHOW,2006,TV-14,48,['drama'],1,7.4,40,23.073,2.3
ts23797,SHOW,2009,TV-14,37,"['action', 'comedy', 'sport', 'crime']",3,7.6,302,9.613,9.2
ts70843,SHOW,2005,TV-14,44,"['drama', 'romance', 'comedy']",1,6.8,128,1.448,5
ts13411,SHOW,2005,TV-14,44,"['documentation', 'european']",1,7.1,60,0.84,7
ts8175,SHOW,2012,TV-PG,56,"['drama', 'history', 'european']",11,8.5,25562,24.955,7.4
ts20564,SHOW,2011,TV-14,21,"['comedy', 'romance']",7,7.7,216209,65.381,7.3
ts278,SHOW,2011,TV-MA,59,"['scifi', 'thriller', 'drama', 'european']",5,8.8,515577,74.102,8.3
ts21580,SHOW,2012,TV-14,53,"['western', 'action', 'crime', 'drama']",6,8.3,34362,32.776,7.8
ts20660,SHOW,2011,TV-MA,54,"['drama', 'comedy']",11,8.6,230243,175.426,8.1
ts21806,SHOW,2011,TV-14,21,"['comedy', 'romance']",3,7.8,37778,19.134,7.1
ts27680,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",5,8.3,6844,5.554,7.2
ts21599,SHOW,2012,TV-14,42,['reality'],13,7.4,3874,23.186,7.9
ts33338,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",2,8.4,22420,18.036,7.4
ts32835,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",3,9,87857,117.924,8.8
ts17598,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",8,7.5,425716,125.061,6.7
ts20457,SHOW,2012,TV-Y7,23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",4,8.4,117464,63.789,8.3
